Timestamp,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Flow_Duration,Tot_Pkts,Tot_Bytes,Pkts_Per_Sec,Bytes_Per_Sec,SYN_Cnt,ACK_Cnt,FIN_Cnt,RST_Cnt,PSH_Cnt,URG_Cnt,Mean_IAT,Var_IAT,Max_IAT,Mean_Pkt_Size,Var_Pkt_Size,TTL_Mean,TTL_Var,Failed_Conn,Stage,Label
2023-11-14 22:13:20,192.168.1.38,192.168.1.16,49622,8080,6,1.1858381895253767,17,16711,14.335851341407826,14092.141868603894,0,17,0,1,0,0,0.07411488684533604,0.03517001911288131,0.15774006652155492,983.0,116.80695142076593,60.88405741955066,0.40934271812414347,1,0,Benign
2023-11-14 22:13:20,192.168.1.66,10.0.0.5,39642,8080,6,1.6263154949659095,15,4845,9.223302641111728,2979.126753079088,1,14,1,0,2,0,0.11616539249756497,0.04505337975270904,0.1753678676331896,323.0,72.27007812892724,65.68966593919197,0.9782741342265301,0,0,Benign
2023-11-14 22:13:20,10.0.0.8,10.0.0.28,9204,8443,6,0.27098669086387206,1,318,3.6902181314223355,1173.4893657923026,1,0,0,0,0,0,0.27098669086387206,0.021891403035140984,0.7530521085601841,318.0,45.09123881913388,58.541419454043414,1.5228574762131517,0,0,Benign
2023-11-14 22:13:20,10.0.0.7,203.0.113.5,55688,445,6,1.0290487140525866,10,6490,9.717712935686132,6306.7956952603,0,10,0,0,5,0,0.11433874600584296,0.05339566606503966,0.18952704159969858,649.0,95.96183888517939,78.08402333969327,0.7865697873295794,0,0,Benign
2023-11-14 22:13:21,192.168.1.93,192.168.1.24,16034,80,6,0.3932573583874114,11,6204,27.971504576815878,15775.928581324157,1,10,0,0,5,0,0.03932573583874114,0.012980880092946272,0.07132119517413191,564.0,172.41515755749907,70.26824115566916,0.9151970530894386,0,0,Benign
2023-11-14 22:13:21,172.16.0.11,192.168.1.112,24747,22,6,1.7146841589905653,10,8250,5.831977829600409,4811.381709420338,2,8,0,0,0,0,0.1905204621100628,0.028336246433812964,0.4278806139220185,825.0,16.03251506653945,54.03417050529422,1.1213982977365848,0,0,Benign
2023-11-14 22:13:21,192.168.1.39,10.0.0.28,50233,8080,6,1.0540587759591564,7,3591,6.640995890983637,3406.830892074606,1,6,0,0,4,0,0.1756764626598594,0.05505859251748572,0.21194257809561706,513.0,129.2097246713458,68.7958448227941,1.694850813803022,0,0,Benign
2023-11-14 22:13:21,192.168.1.60,192.168.1.49,25528,53,6,1.224672410824828,5,5925,4.082724454152156,4838.028478170304,1,4,0,0,2,0,0.306168102706207,0.09410837247418183,0.6645038170190753,1185.0,217.21275771621453,57.04551420543675,0.8669194253093389,0,0,Benign
2023-11-14 22:13:22,10.0.0.27,192.168.1.42,9438,3306,6,0.5915198043874401,1,1172,1.6905604725028092,1981.3368737732924,1,0,0,0,5,0,0.5915198043874401,0.06792813068102839,1.9585712383784768,1172.0,187.07048516142916,54.94576818282196,0.30546435221496226,0,0,Benign
2023-11-14 22:13:22,192.168.1.67,192.168.1.26,23180,80,6,1.487417856452681,14,12348,9.412284476258995,8301.634908060434,0,14,0,0,2,0,0.11441675818866777,0.04574564093171705,0.22411506074629275,882.0,287.7369763508651,57.2925275862478,0.5149188803078295,0,0,Benign
